=== ScanTicket V1 — Populate Embeddings ===
Modele: https://api.fireworks.ai/inference/v1/
Force re-embed: False

Dossiers a embedder: 25904
  [10750/25904] 43.5 docs/s | 1598128 tokens
  [10800/25904] 43.5 docs/s | 1606760 tokens
  [10850/25904] 43.4 docs/s | 1615317 tokens
  [10900/25904] 43.4 docs/s | 1624272 tokens
  [10950/25904] 43.4 docs/s | 1633124 tokens
  [11000/25904] 43.4 docs/s | 1642071 tokens
  [11050/25904] 43.5 docs/s | 1651430 tokens
  [11100/25904] 43.5 docs/s | 1659545 tokens
  [11150/25904] 43.5 docs/s | 1667485 tokens
  [11200/25904] 43.5 docs/s | 1675749 tokens
  [11250/25904] 43.5 docs/s | 1684150 tokens
  [11300/25904] 43.5 docs/s | 1692883 tokens
  [11350/25904] 43.5 docs/s | 1701658 tokens
  [11400/25904] 43.5 docs/s | 1710469 tokens
  [11450/25904] 43.5 docs/s | 1719460 tokens
  [11500/25904] 43.5 docs/s | 1727502 tokens
  [11550/25904] 43.5 docs/s | 1736432 tokens
  [11600/25904] 43.5 docs/s | 1744496 tokens
  [11650/25904] 43.5 docs/s | 1752230 tokens
  [11700/25904] 43.5 docs/s | 1760538 tokens
  [11750/25904] 43.5 docs/s | 1769347 tokens
  [11800/25904] 43.5 docs/s | 1778100 tokens
  [11850/25904] 43.5 docs/s | 1786910 tokens
  [11900/25904] 43.5 docs/s | 1794980 tokens
  [11950/25904] 43.6 docs/s | 1803562 tokens
  [12000/25904] 43.6 docs/s | 1812757 tokens
  [12050/25904] 43.5 docs/s | 1821713 tokens
  [12100/25904] 43.5 docs/s | 1830611 tokens
  [12150/25904] 43.5 docs/s | 1838787 tokens
  [12200/25904] 43.5 docs/s | 1846699 tokens
  [12250/25904] 43.4 docs/s | 1855199 tokens
  [12300/25904] 43.4 docs/s | 1863642 tokens
  [12350/25904] 43.4 docs/s | 1872293 tokens
  [12400/25904] 43.4 docs/s | 1881032 tokens
  [12450/25904] 43.4 docs/s | 1889068 tokens
  [12500/25904] 43.5 docs/s | 1897123 tokens
  [12550/25904] 43.5 docs/s | 1905384 tokens
  [12600/25904] 43.5 docs/s | 1914942 tokens
  [12650/25904] 43.5 docs/s | 1923152 tokens
  [12700/25904] 43.5 docs/s | 1931645 tokens
  [12750/25904] 43.5 docs/s | 1940188 tokens
  [12800/25904] 43.5 docs/s | 1948863 tokens
  [12850/25904] 43.5 docs/s | 1957865 tokens
  [12900/25904] 43.5 docs/s | 1966546 tokens
  [12950/25904] 43.4 docs/s | 1975915 tokens
  [13000/25904] 43.4 docs/s | 1984198 tokens
  [13050/25904] 43.4 docs/s | 1993410 tokens
  [13100/25904] 43.4 docs/s | 2001712 tokens
  [13150/25904] 43.4 docs/s | 2010285 tokens
  [13200/25904] 43.4 docs/s | 2018867 tokens
  [13250/25904] 43.4 docs/s | 2028199 tokens
  [13300/25904] 43.4 docs/s | 2036979 tokens
  [13350/25904] 43.4 docs/s | 2045612 tokens
  [13400/25904] 43.4 docs/s | 2054258 tokens
  [13450/25904] 43.4 docs/s | 2063194 tokens
  [13500/25904] 43.4 docs/s | 2071585 tokens
  [13550/25904] 43.4 docs/s | 2079661 tokens
  [13600/25904] 43.4 docs/s | 2087506 tokens
  [13650/25904] 43.4 docs/s | 2095209 tokens
  [13700/25904] 43.4 docs/s | 2103907 tokens
  [13750/25904] 43.4 docs/s | 2112494 tokens
  [13800/25904] 43.4 docs/s | 2120754 tokens
  [13850/25904] 43.4 docs/s | 2129132 tokens
  [13900/25904] 43.4 docs/s | 2138100 tokens
  [13950/25904] 43.4 docs/s | 2146912 tokens
  [14000/25904] 43.4 docs/s | 2155558 tokens
  [14050/25904] 43.4 docs/s | 2164330 tokens
  [14100/25904] 43.4 docs/s | 2172729 tokens
  [14150/25904] 43.4 docs/s | 2181305 tokens
  [14200/25904] 43.4 docs/s | 2189801 tokens
  [14250/25904] 43.4 docs/s | 2199252 tokens
  [14300/25904] 43.4 docs/s | 2207310 tokens
  [14350/25904] 43.4 docs/s | 2216075 tokens
  [14400/25904] 43.4 docs/s | 2225064 tokens
  [14450/25904] 43.4 docs/s | 2233887 tokens
  [14500/25904] 43.4 docs/s | 2243303 tokens
  [14550/25904] 43.4 docs/s | 2252254 tokens
  [14600/25904] 43.4 docs/s | 2261706 tokens
  [14650/25904] 43.4 docs/s | 2270740 tokens
  [14700/25904] 43.4 docs/s | 2279421 tokens
  [14750/25904] 43.4 docs/s | 2288292 tokens
  [14800/25904] 43.4 docs/s | 2297168 tokens
  [14850/25904] 43.4 docs/s | 2305658 tokens
  [14900/25904] 43.4 docs/s | 2314603 tokens
  [14950/25904] 43.4 docs/s | 2323573 tokens
  [15000/25904] 43.4 docs/s | 2331940 tokens
  [15050/25904] 43.4 docs/s | 2341066 tokens
  [15100/25904] 43.4 docs/s | 2349527 tokens
  [15150/25904] 43.5 docs/s | 2358289 tokens
  [15200/25904] 43.5 docs/s | 2367025 tokens
  [15250/25904] 43.5 docs/s | 2375397 tokens
  [15300/25904] 43.5 docs/s | 2383894 tokens
  [15350/25904] 43.5 docs/s | 2392658 tokens
  [15400/25904] 43.5 docs/s | 2400687 tokens
  [15450/25904] 43.5 docs/s | 2409286 tokens
  [15500/25904] 43.5 docs/s | 2418685 tokens
  [15550/25904] 43.5 docs/s | 2427400 tokens
  [15600/25904] 43.5 docs/s | 2435938 tokens
  [15650/25904] 43.4 docs/s | 2445198 tokens
  [15700/25904] 43.4 docs/s | 2453957 tokens
  [15750/25904] 43.4 docs/s | 2463149 tokens
  [15800/25904] 43.4 docs/s | 2472141 tokens
